        Time(hr)  XILAVG*DT   LWUAVG*DT   HOAVG*DT  GHFAVG*Dt  RADUPTOP    RADDNTOP  cb*t0  Column Energy  Radiativeloss
       4.667,   98961.055,  115385.641,  -11408.416,    -412.682,   82945.906,    7498.668,    18545326.0,     -665152.0,   -4802.416
       4.750,   98989.367,  115410.281,  -11433.086,    -412.682,   82944.398,    7496.691,    18545326.0,     -678272.0,   -4797.638
       4.833,   98999.938,  115423.789,  -11458.516,    -412.682,   82945.773,    7494.718,    18545326.0,     -691264.0,   -4793.751
       4.917,   99028.125,  115449.648,  -11481.175,    -412.682,   82942.016,    7492.778,    18545326.0,     -703360.0,   -4791.094
       5.000,   99037.078,  115464.266,  -11500.572,    -412.682,   82942.656,    7490.802,    18545326.0,     -716224.0,   -4788.675
       5.083,   99064.516,  115476.977,  -11514.419,    -412.682,   82939.594,    7488.849,    18545326.0,     -728000.0,   -4790.204
       5.167,   99072.711,  115493.289,  -11526.482,    -412.682,   82936.430,    7486.867,    18545326.0,     -739968.0,   -4792.060
       5.250,   99082.438,  115501.289,  -11544.152,    -412.682,   82931.867,    7484.918,    18545326.0,     -750656.0,   -4792.061
       5.333,   99102.578,  115504.477,  -11544.602,    -412.682,   82927.188,    7482.965,    18545326.0,     -761088.0,   -4799.117
       5.417,   99111.469,  115518.344,  -11547.850,    -412.682,   82924.820,    7481.016,    18545326.0,     -771840.0,   -4806.142
       5.500,   99117.422,  115530.047,  -11555.724,    -412.682,   82917.445,    7479.100,    18545326.0,     -781312.0,   -4810.211
       5.583,   99139.719,  115532.313,  -11554.856,    -412.682,   82912.820,    7477.126,    18545326.0,     -791104.0,   -4817.992
       5.667,   99141.758,  115532.164,  -11547.911,    -412.682,   82905.789,    7475.177,    18545326.0,     -800640.0,   -4828.202
       5.750,   99148.859,  115540.250,  -11550.930,    -412.682,   82903.328,    7473.236,    18545326.0,     -810048.0,   -4834.758
       5.833,   99150.180,  115534.320,  -11542.084,    -412.682,   82893.570,    7471.307,    18545326.0,     -818624.0,   -4845.769
       5.917,   99153.352,  115539.852,  -11539.687,    -412.682,   82890.352,    7469.387,    18545326.0,     -828224.0,   -4853.942
       6.000,   99159.445,  115538.758,  -11537.841,    -412.682,   82882.188,    7467.431,    18545326.0,     -836224.0,   -4863.507
       6.083,   99176.523,  115536.367,  -11527.020,    -412.682,   82875.430,    7465.526,    18545326.0,     -844096.0,   -4875.582
       6.167,   99177.977,  115533.570,  -11519.811,    -412.682,   82865.656,    7463.582,    18545326.0,     -850624.0,   -4887.091
       6.250,   99179.211,  115532.563,  -11508.468,    -412.682,   82858.914,    7461.658,    18545326.0,     -856896.0,   -4899.392
       6.333,   99179.039,  115522.602,  -11491.234,    -412.682,   82849.430,    7459.742,    18545326.0,     -863680.0,   -4914.469
       6.417,   99180.305,  115515.320,  -11479.646,    -412.682,   82841.813,    7457.790,    18545326.0,     -871232.0,   -4926.846
       6.500,   99185.047,  115509.344,  -11471.917,    -412.682,   82834.625,    7455.888,    18545326.0,     -877376.0,   -4938.079
       6.583,   99185.563,  115507.125,  -11462.979,    -412.682,   82827.266,    7453.998,    18545326.0,     -883392.0,   -4950.302
       6.667,   99186.969,  115504.680,  -11455.178,    -412.682,   82821.563,    7452.067,    18545326.0,     -889344.0,   -4961.856
       6.750,   99187.406,  115503.523,  -11447.783,    -412.682,   82814.734,    7450.143,    18545326.0,     -895296.0,   -4973.308
       6.833,   99187.516,  115501.172,  -11439.500,    -412.682,   82806.820,    7448.235,    18545326.0,     -901248.0,   -4984.806
       6.917,   99187.836,  115500.523,  -11431.548,    -412.682,   82800.203,    7446.304,    18545326.0,     -907328.0,   -4996.202
       7.000,   99188.094,  115499.859,  -11424.219,    -412.682,   82792.930,    7444.412,    18545326.0,     -913408.0,   -5007.202
       7.083,   99189.359,  115499.445,  -11416.269,    -412.682,   82783.273,    7442.508,    18545326.0,     -919616.0,   -5018.206
       7.167,   99187.781,  115494.492,  -11403.761,    -412.682,   82775.969,    7440.583,    18545326.0,     -925760.0,   -5030.352
       7.250,   99187.484,  115483.758,  -11393.876,    -412.682,   82767.094,    7438.650,    18545326.0,     -931776.0,   -5041.597
       7.333,   99187.492,  115474.344,  -11384.592,    -412.682,   82758.406,    7436.753,    18545326.0,     -937856.0,   -5053.322
       7.417,   99187.125,  115467.703,  -11370.888,    -412.682,   82750.891,    7434.865,    18545326.0,     -944000.0,   -5065.590
       7.500,   99181.125,  115459.203,  -11353.299,    -412.682,   82740.070,    7432.940,    18545326.0,     -950272.0,   -5078.900
       7.583,   99160.070,  115441.703,  -11334.354,    -412.682,   82729.734,    7431.048,    18545326.0,     -956480.0,   -5092.495
       7.667,   99154.188,  115428.672,  -11314.677,    -412.682,   82717.875,    7429.102,    18545326.0,     -962816.0,   -5106.275
       7.750,   99150.500,  115423.977,  -11294.383,    -412.682,   82708.953,    7427.182,    18545326.0,     -969152.0,   -5120.279
       7.833,   99145.008,  115400.172,  -11275.295,    -412.682,   82698.539,    7425.289,    18545326.0,     -975360.0,   -5133.987
       7.917,   99129.523,  115388.141,  -11254.947,    -412.682,   82681.227,    7423.355,    18545326.0,     -982016.0,   -5147.713
       8.000,   99112.547,  115358.586,  -11222.201,    -412.682,   82674.547,    7421.468,    18545326.0,     -988352.0,   -5163.872
       8.083,   99111.820,  115353.906,  -11207.681,    -412.682,   82665.680,    7419.528,    18545326.0,     -994752.0,   -5176.136
       8.167,   99085.531,  115336.617,  -11180.858,    -412.682,   82649.719,    7417.633,    18545326.0,    -1001152.0,   -5191.727
       8.250,   99077.469,  115318.320,  -11159.681,    -412.682,   82640.555,    7415.717,    18545326.0,    -1007488.0,   -5204.926
       8.333,   99074.148,  115308.727,  -11140.235,    -412.682,   82628.234,    7413.808,    18545326.0,    -1014208.0,   -5218.180
       8.417,   99046.516,  115282.023,  -11110.866,    -412.682,   82615.125,    7411.896,    18545326.0,    -1021440.0,   -5233.117
       8.500,   99037.961,  115268.039,  -11084.268,    -412.682,   82602.930,    7409.978,    18545326.0,    -1027840.0,   -5247.966
       8.583,   99018.398,  115244.273,  -11061.516,    -412.682,   82591.727,    7408.072,    18545326.0,    -1034368.0,   -5261.248
       8.667,   99007.555,  115234.000,  -11041.439,    -412.682,   82579.641,    7406.167,    18545326.0,    -1040768.0,   -5273.944
       8.750,   99000.352,  115209.336,  -11020.186,    -412.682,   82568.336,    7404.265,    18545326.0,    -1047168.0,   -5286.808
       8.833,   98981.750,  115201.469,  -10999.084,    -412.682,   82556.883,    7402.358,    18545326.0,    -1053568.0,   -5299.055
       8.917,   98967.383,  115182.086,  -10977.154,    -412.682,   82544.945,    7400.440,    18545326.0,    -1060416.0,   -5311.516
       9.000,   98958.414,  115160.477,  -10951.196,    -412.682,   82533.250,    7398.506,    18545326.0,    -1067584.0,   -5325.806
       9.083,   98932.516,  115135.234,  -10920.321,    -412.682,   82518.000,    7396.611,    18545326.0,    -1074688.0,   -5340.551
       9.167,   98924.766,  115125.172,  -10895.541,    -412.682,   82508.297,    7394.711,    18545326.0,    -1081600.0,   -5353.990
       9.250,   98898.102,  115099.953,  -10872.099,    -412.682,   82496.719,    7392.811,    18545326.0,    -1088512.0,   -5366.842
       9.333,   98889.563,  115084.805,  -10848.560,    -412.682,   82482.680,    7390.876,    18545326.0,    -1095552.0,   -5379.952
       9.417,   98876.813,  115059.820,  -10825.323,    -412.682,   82472.531,    7388.957,    18545326.0,    -1102528.0,   -5392.153
       9.500,   98858.438,  115047.703,  -10798.703,    -412.682,   82455.508,    7387.048,    18545326.0,    -1109760.0,   -5405.483
       9.583,   98823.633,  115011.875,  -10761.623,    -412.682,   82444.242,    7385.162,    18545326.0,    -1116928.0,   -5421.376
       9.667,   98815.344,  115003.164,  -10742.659,    -412.682,   82432.094,    7383.253,    18545326.0,    -1123968.0,   -5432.464
       9.750,   98800.672,  114979.250,  -10716.759,    -412.682,   82419.602,    7381.342,    18545326.0,    -1131072.0,   -5445.030
       9.833,   98778.453,  114958.203,  -10690.212,    -412.682,   82407.953,    7379.441,    18545326.0,    -1138176.0,   -5458.180
       9.917,   98772.797,  114938.000,  -10668.202,    -412.682,   82396.438,    7377.548,    18545326.0,    -1145216.0,   -5469.157
      10.000,   98748.086,  114925.242,  -10647.995,    -412.682,   82381.430,    7375.644,    18545326.0,    -1152384.0,   -5480.179
      10.083,   98737.727,  114903.297,  -10623.142,    -412.682,   82371.313,    7373.717,    18545326.0,    -1159488.0,   -5492.297
      10.167,   98720.219,  114896.000,  -10605.268,    -412.682,   82359.539,    7371.810,    18545326.0,    -1166720.0,   -5501.843
      10.250,   98704.969,  114868.930,  -10581.746,    -412.682,   82347.984,    7369.896,    18545326.0,    -1173952.0,   -5513.209
      10.333,   98684.820,  114848.133,  -10553.169,    -412.682,   82335.422,    7368.010,    18545326.0,    -1181056.0,   -5525.623
      10.417,   98667.383,  114829.859,  -10532.142,    -412.682,   82323.047,    7366.090,    18545326.0,    -1188160.0,   -5536.489
      10.500,   98662.117,  114818.844,  -10510.773,    -412.682,   82310.633,    7364.200,    18545326.0,    -1195264.0,   -5549.403
      10.583,   98628.414,  114780.930,  -10472.487,    -412.682,   82290.672,    7362.290,    18545326.0,    -1202816.0,   -5561.843
      10.667,   98597.445,  114754.422,  -10440.873,    -412.682,   82282.938,    7360.396,    18545326.0,    -1209920.0,   -5575.567
      10.750,   98589.664,  114749.320,  -10425.765,    -412.682,   82271.906,    7358.480,    18545326.0,    -1216960.0,   -5583.876
      10.833,   98581.609,  114725.703,  -10408.326,    -412.682,   82259.398,    7356.550,    18545326.0,    -1224064.0,   -5591.590
      10.917,   98560.125,  114713.453,  -10393.766,    -412.682,   82249.914,    7354.667,    18545326.0,    -1231168.0,   -5600.711
      11.000,   98550.641,  114690.508,  -10367.232,    -412.682,   82236.867,    7352.758,    18545326.0,    -1238528.0,   -5612.280
      11.083,   98526.258,  114677.398,  -10346.127,    -412.682,   82222.430,    7350.883,    18545326.0,    -1245632.0,   -5622.477
      11.167,   98514.266,  114660.023,  -10322.821,    -412.682,   82212.695,    7348.968,    18545326.0,    -1252736.0,   -5632.787
      11.250,   98504.297,  114641.805,  -10304.875,    -412.682,   82201.875,    7347.080,    18545326.0,    -1259904.0,   -5641.916
      11.333,   98478.188,  114611.258,  -10273.399,    -412.682,   82187.250,    7345.153,    18545326.0,    -1267456.0,   -5653.912
      11.417,   98465.414,  114601.477,  -10257.438,    -412.682,   82176.609,    7343.262,    18545326.0,    -1275264.0,   -5661.159
      11.500,   98412.898,  114549.117,  -10199.976,    -412.682,   82149.133,    7341.347,    18545326.0,    -1283648.0,   -5678.720
      11.583,   98364.813,  114502.906,  -10143.988,    -412.682,   82125.758,    7339.450,    18545326.0,    -1292352.0,   -5692.931
      11.667,   98298.938,  114432.164,  -10062.790,    -412.682,   82105.547,    7337.549,    18545326.0,    -1300288.0,   -5717.207
      11.750,   98287.531,  114417.563,  -10045.652,    -412.682,   82096.555,    7335.661,    18545326.0,    -1307456.0,   -5725.728
      11.833,   98261.336,  114406.109,  -10031.179,    -412.682,   82080.328,    7333.723,    18545326.0,    -1315328.0,   -5730.950
      11.917,   98222.102,  114370.219,   -9986.927,    -412.682,   82064.344,    7331.837,    18545326.0,    -1323456.0,   -5744.070
      12.000,   98206.961,  114342.469,   -9964.525,    -412.682,   82053.617,    7329.948,    18545326.0,    -1331008.0,   -5751.063
      12.083,   98178.188,  114320.461,   -9942.295,    -412.682,   82039.883,    7328.050,    18545326.0,    -1338560.0,   -5758.904
      12.167,   98169.555,  114305.094,   -9929.636,    -412.682,   82030.680,    7326.142,    18545326.0,    -1345792.0,   -5764.309
      12.250,   98147.680,  114300.172,   -9919.871,    -412.682,   82020.227,    7324.239,    18545326.0,    -1352960.0,   -5768.752
      12.333,   98139.438,  114293.836,   -9908.648,    -412.705,   82008.109,    7322.354,    18545318.0,    -1360384.0,   -5773.459
      12.417,   98128.648,  114272.586,   -9896.925,    -415.788,   81997.953,    7320.447,    18545128.0,    -1368000.0,   -5778.598
      12.500,   98095.344,  114240.875,   -9876.420,    -431.029,   81979.586,    7318.540,    18544330.0,    -1375616.0,   -5789.759
      12.583,   98064.875,  114215.039,   -9858.584,    -450.280,   81969.336,    7316.641,    18543872.0,    -1383104.0,   -5801.950
      12.667,   98048.281,  114193.719,   -9852.817,    -458.339,   81954.031,    7314.750,    18543560.0,    -1390656.0,   -5807.771
      12.750,   98032.422,  114183.430,   -9842.894,    -467.148,   81943.125,    7312.860,    18543212.0,    -1397888.0,   -5814.267
      12.833,   98002.477,  114157.461,   -9830.019,    -479.942,   81928.891,    7310.971,    18542660.0,    -1405632.0,   -5822.562
      12.917,   97982.477,  114123.141,   -9812.680,    -496.340,   81911.977,    7309.074,    18542056.0,    -1413312.0,   -5833.531
      13.000,   97956.406,  114109.000,   -9802.374,    -508.274,   81902.656,    7307.181,    18541818.0,    -1420608.0,   -5840.794
      13.083,   97949.242,  114087.594,   -9794.885,    -516.440,   81891.258,    7305.282,    18541490.0,    -1427968.0,   -5846.709
