     Z         TH        U         V         Q         P
  256.000   304.026     2.000     0.000     1.000   974.400
  258.000   304.026     2.000     0.000     1.000   974.200
  260.000   304.026     2.000     0.000     1.000   974.000
  262.000   304.026     2.000     0.000     1.000   973.800
  264.000   304.026     2.000     0.000     1.000   973.600
  266.000   304.027     2.000     0.000     1.000   973.400
  268.000   304.027     2.000     0.000     1.000   973.200
  270.000   304.027     2.000     0.000     1.000   973.000
  272.000   304.027     2.000     0.000     1.000   972.800
  274.000   304.027     2.000     0.000     1.000   972.600
  276.000   304.028     2.000     0.000     1.000   972.400
  278.000   304.028     2.000     0.000     1.000   972.200
  280.000   304.028     2.000     0.000     1.000   972.000
  282.000   304.028     2.000     0.000     1.000   971.800
  284.000   304.028     2.000     0.000     1.000   971.600
  286.000   304.029     2.000     0.000     1.000   971.400
  288.000   304.029     2.000     0.000     1.000   971.200
  290.000   304.029     2.000     0.000     1.000   971.000
  292.000   304.029     2.000     0.000     1.000   970.800
  294.000   304.029     2.000     0.000     1.000   970.600
  296.000   304.030     2.000     0.000     1.000   970.400
  298.000   304.030     2.000     0.000     1.000   970.200
  300.000   304.030     2.000     0.000     1.000   970.000
  302.000   304.030     2.000     0.000     1.000   969.800
  304.000   304.030     2.000     0.000     1.000   969.600
  306.000   304.031     2.000     0.000     1.000   969.400
  308.000   304.031     2.000     0.000     1.000   969.200
  310.000   304.031     2.000     0.000     1.000   969.000
  312.000   304.031     2.000     0.000     1.000   968.800
  314.000   304.031     2.000     0.000     1.000   968.600
  316.000   304.032     2.000     0.000     1.000   968.400
  318.000   304.032     2.000     0.000     1.000   968.200
  320.000   304.032     2.000     0.000     1.000   968.000
  322.000   304.032     2.000     0.000     1.000   967.800
  324.000   304.032     2.000     0.000     1.000   967.600
  326.000   304.033     2.000     0.000     1.000   967.400
  328.000   304.033     2.000     0.000     1.000   967.200
  330.000   304.033     2.000     0.000     1.000   967.000
  332.000   304.033     2.000     0.000     1.000   966.800
  334.000   304.033     2.000     0.000     1.000   966.600
  336.000   304.034     2.000     0.000     1.000   966.400
  338.000   304.034     2.000     0.000     1.000   966.200
  340.000   304.034     2.000     0.000     1.000   966.000
  342.000   304.034     2.000     0.000     1.000   965.800
  344.000   304.034     2.000     0.000     1.000   965.600
  346.000   304.035     2.000     0.000     1.000   965.400
  348.000   304.035     2.000     0.000     1.000   965.200
  350.000   304.035     2.000     0.000     1.000   965.000
  352.000   304.035     2.000     0.000     1.000   964.800
  354.000   304.035     2.000     0.000     1.000   964.600
  356.000   304.036     2.000     0.000     1.000   964.400
  358.000   304.036     2.000     0.000     1.000   964.200
  360.000   304.036     2.000     0.000     1.000   964.000
  362.000   304.036     2.000     0.000     1.000   963.800
  364.000   304.036     2.000     0.000     1.000   963.600
  366.000   304.037     2.000     0.000     1.000   963.400
  368.000   304.037     2.000     0.000     1.000   963.200
  370.000   304.037     2.000     0.000     1.000   963.000
  372.000   304.037     2.000     0.000     1.000   962.800
  374.000   304.037     2.000     0.000     1.000   962.600
  376.000   304.038     2.000     0.000     1.000   962.400
  378.000   304.038     2.000     0.000     1.000   962.200
  380.000   304.038     2.000     0.000     1.000   962.000
  382.000   304.038     2.000     0.000     1.000   961.800
  384.000   304.038     2.000     0.000     1.000   961.600
  386.000   304.039     2.000     0.000     1.000   961.400
  388.000   304.039     2.000     0.000     1.000   961.200
  390.000   304.039     2.000     0.000     1.000   961.000
  392.000   304.039     2.000     0.000     1.000   960.800
  394.000   304.039     2.000     0.000     1.000   960.600
  396.000   304.040     2.000     0.000     1.000   960.400
  398.000   304.040     2.000     0.000     1.000   960.200
  400.000   304.040     2.000     0.000     1.000   960.000
  402.000   304.040     2.000     0.000     1.000   959.800
  404.000   304.040     2.000     0.000     1.000   959.600
  406.000   304.041     2.000     0.000     1.000   959.400
  408.000   304.041     2.000     0.000     1.000   959.200
  410.000   304.041     2.000     0.000     1.000   959.000
  412.000   304.041     2.000     0.000     1.000   958.800
  414.000   304.041     2.000     0.000     1.000   958.600
  416.000   304.042     2.000     0.000     1.000   958.400
  418.000   304.042     2.000     0.000     1.000   958.200
  420.000   304.042     2.000     0.000     1.000   958.000
  422.000   304.042     2.000     0.000     1.000   957.800
  424.000   304.042     2.000     0.000     1.000   957.600
  426.000   304.043     2.000     0.000     1.000   957.400
  428.000   304.043     2.000     0.000     1.000   957.200
  430.000   304.043     2.000     0.000     1.000   957.000
  432.000   304.043     2.000     0.000     1.000   956.800
  434.000   304.043     2.000     0.000     1.000   956.600
  436.000   304.044     2.000     0.000     1.000   956.400
